source	default_branch	head_count	tag_count	pr_ref_count	all_ref_content_status	chunk_id	refs_considered	content_entry_count	unique_blob_count	all_ref_content_sha256	evidence_path
Team-Commonly/commonly	main	260	3	569	ok	chunk-0017	832	994020	10830	66b948253031bb1cdcc09a78c9fce62d308a7018844233ddd11c1dfa229ddeae	docs/governance/helix-agent-harness-topic-all-ref-content-chunk-0017-2026-07-07.tsv
exon-research/genomi	master	1	1	1	ok	chunk-0006	3	1272	726	e09105672146b901e4cf589b5c1a59904b34cd284e2d635fa11de7b594bb78ac	docs/governance/helix-agent-harness-topic-all-ref-content-chunk-0006-2026-07-07.tsv
clawdotnet/openclaw.net	main	50	4	148	ok	chunk-0014	202	170912	3870	59352c622a52ad6fb7c4faba671557e3a1688fc50c77d80f24273a7d61a3538d	docs/governance/helix-agent-harness-topic-all-ref-content-chunk-0014-2026-07-07.tsv
ruvnet/metaharness	main	48	3	92	ok	chunk-0015	158	452930	4423	f3b6756c3ac1cc5431aaafe56074652abec60460146618153562c57e5b980ba2	docs/governance/helix-agent-harness-topic-all-ref-content-chunk-0015-2026-07-07.tsv
SponsioLabs/Sponsio	main	6	8	100	ok	chunk-0014	114	59554	2034	bcc45315dd5db6dd07127090756ec4e19092e019d12ad4ea033c56746870054f	docs/governance/helix-agent-harness-topic-all-ref-content-chunk-0014-2026-07-07.tsv
shamspias/customizable-gpt-chatbot	main	7	0	19	ok	chunk-0006	26	1805	400	7511dd4d8a23854b053c90455aeb27b71674396701d309e0400b5c9cb770534d	docs/governance/helix-agent-harness-topic-all-ref-content-chunk-0006-2026-07-07.tsv
agentic-in/inferoa	main	1	24	6	ok	chunk-0020	31	8005	1028	186663b7debb81a0ca0673aead1ae6ec310f89ec36050e67c48ae80dfc6ca2b2	docs/governance/helix-agent-harness-topic-all-ref-content-chunk-0020-2026-07-07.tsv
deonmenezes/mantishack	main	11	0	105	ok	chunk-0015	119	143432	10025	de813535e881d538df8e0371170c9a79aa479d774bd7e2febd0a5672e09a00df	docs/governance/helix-agent-harness-topic-all-ref-content-chunk-0015-2026-07-07.tsv
Gloriaameng/Awesome-Agent-Harness	main	1	0	5	ok	chunk-0014	6	66	15	f80af3e8dbef4b4f12fefd27359ca53fef306bf77e69030a5c32d400a90e6849	docs/governance/helix-agent-harness-topic-all-ref-content-chunk-0014-2026-07-07.tsv
0xNyk/lacp	main	75	14	118	ok	chunk-0005	207	74797	935	faad7ed35abc000988c47ccdee89f913a9a0aac72bb297a466f1001d09b74899	docs/governance/helix-agent-harness-topic-all-ref-content-chunk-0005-2026-07-07.tsv
manthanguptaa/water	main	1	4	5	ok	chunk-0004	10	1595	414	ac36b505e8708003227485a4e2bf181247559dbccecf6001c79d5f3d7c4ce26c	docs/governance/helix-agent-harness-topic-all-ref-content-chunk-0004-2026-07-07.tsv
RyanAlberts/best-of-Agent-Harnesses	main	26	3	51	ok	chunk-0006	80	4655	652	1bbd4e647c350ac388470e6baf1a60b31372098633f2fcab76f76c5d5eb4828d	docs/governance/helix-agent-harness-topic-all-ref-content-chunk-0006-2026-07-07.tsv
omnirexflora-labs/omnicoreagent	main	3	34	214	ok	chunk-0013	251	60166	3440	8ec35326ed89d3b1e282d6c092ad05aa300a2912f0b7b27d693e9e592461b8d5	docs/governance/helix-agent-harness-topic-all-ref-content-chunk-0013-2026-07-07.tsv
Intelligent-Internet/zenith	main	4	0	13	ok	chunk-0013	17	1618	304	e6463fd174b8296e24b5e268dd00cc4f12b9f4dfbfc29b594a54f625d9f3489d	docs/governance/helix-agent-harness-topic-all-ref-content-chunk-0013-2026-07-07.tsv
LearnPrompt/cc-harness-skills	main	1	2	0	ok	chunk-0002	3	128	45	e55652693d1b5943b0b2bb2767b45664b4550760c51c9612c541da3d0af417cb	docs/governance/helix-agent-harness-topic-all-ref-content-chunk-0002-2026-07-07.tsv
ReinaMacCredy/maestro	main	5	55	76	ok	chunk-0016	136	95908	8064	6020ca22a8817df55fb51056c9605d26c07303a5c438eead73f8b50393bca219	docs/governance/helix-agent-harness-topic-all-ref-content-chunk-0016-2026-07-07.tsv
bitrouter/bitrouter	main	63	67	489	ok	chunk-0007	622	177805	4592	1f0c1840fe45ff0a809c19054d875faa404bc93d50b3e0a43cefee3ec55ecca1	docs/governance/helix-agent-harness-topic-all-ref-content-chunk-0007-2026-07-07.tsv
mattolson/agent-sandbox	main	3	5	125	ok	chunk-0005	133	23526	1280	c4cc2f03ba06a97c2b5f220cc149752eab97fc8a3bc52e769c54c74a8ee06fd4	docs/governance/helix-agent-harness-topic-all-ref-content-chunk-0005-2026-07-07.tsv
Zleap-AI/Zleap-Agent	main	1	10	2	ok	chunk-0010	13	7742	962	9349d83d5d159ce529e3c5854a2d343b727d6c501f58e7cbf9ee4ecbf565bebd	docs/governance/helix-agent-harness-topic-all-ref-content-chunk-0010-2026-07-07.tsv
sd0xdev/sd0x-dev-flow	main	2	112	2	ok	chunk-0008	116	42166	2394	a6d9db45463d2c6dbe2609bc783ab049e72816c492d00a281007f7143a2b85b6	docs/governance/helix-agent-harness-topic-all-ref-content-chunk-0008-2026-07-07.tsv
Magma1321/mythos-agent-pipe	main	1	0	0	ok	chunk-0002	1	6	6	4460b79caeacbd86a50a49f7dcb13d3d4ebda0f59c4f1bc110d79bc23795504a	docs/governance/helix-agent-harness-topic-all-ref-content-chunk-0002-2026-07-07.tsv
romiluz13/cc10x	main	4	29	15	ok	chunk-0010	48	4061	1365	7c38df998989ef5bab6ed4e61b64e62cd6b69447b742f173e7d0c791e31b34bf	docs/governance/helix-agent-harness-topic-all-ref-content-chunk-0010-2026-07-07.tsv
enmanuelmag/agent-harness-kit	main	2	32	2	ok	chunk-0004	36	4283	432	4b25385b645315748878b218d9f07fba91bb1d460e739c6a965ba2011bca099d	docs/governance/helix-agent-harness-topic-all-ref-content-chunk-0004-2026-07-07.tsv
RUCAIBox/awesome-agent-harness	main	1	0	4	ok	chunk-0006	5	27	7	4b69ad908a7717be700ee694625a15c9bfde3d5f4ca7d31880922ba205df841c	docs/governance/helix-agent-harness-topic-all-ref-content-chunk-0006-2026-07-07.tsv
inngest/utah	main	5	0	26	ok	chunk-0003	31	1581	285	5259e662337f7759aea6d853e7d83eafe34cbe6d29d0193a842e0854f8fcffd5	docs/governance/helix-agent-harness-topic-all-ref-content-chunk-0003-2026-07-07.tsv
UnicomAI/UniHarness	main	11	0	30	ok	chunk-0007	41	14175	1122	c79b654d406cbc4c46d1c2ba8481770b91b12b514a99ef243afcf627d9f4668a	docs/governance/helix-agent-harness-topic-all-ref-content-chunk-0007-2026-07-07.tsv
deepfates/cantrip	main	1	2	18	ok	chunk-0006	21	5276	1168	d21c2553065ed551d3b1d22387658d888a368855830e981ab11e583d6682c4ac	docs/governance/helix-agent-harness-topic-all-ref-content-chunk-0006-2026-07-07.tsv
wulawulu/learn-claude-code-rs	main	6	1	0	ok	chunk-0005	7	2147	325	f8376e1f452fc95239faa723250427b4f39813fd12a700e069f796c24b560637	docs/governance/helix-agent-harness-topic-all-ref-content-chunk-0005-2026-07-07.tsv
RightNow-AI/AutoMegaKernel	main	1	0	0	ok	chunk-0004	1	167	167	80bbc2859b1e44eee8c170581f948ad8e1a1afebe55404d85eea9097544b1469	docs/governance/helix-agent-harness-topic-all-ref-content-chunk-0004-2026-07-07.tsv
SonicBotMan/SoloFlow	main	20	9	40	ok	chunk-0005	69	14810	680	ff17f9ac932ed076e85b1d0837010a1751642334ee58cc1f5a060c471201d143	docs/governance/helix-agent-harness-topic-all-ref-content-chunk-0005-2026-07-07.tsv
shamspias/reins	main	30	0	33	ok	chunk-0003	63	6807	321	520374829cee1577def198c4f7b551d592163b4f7617cb78898a81ad1642d5c1	docs/governance/helix-agent-harness-topic-all-ref-content-chunk-0003-2026-07-07.tsv
mturac/everything-openai-codex	main	6	1	22	ok	chunk-0015	29	81693	3409	c699d86484850c01017d732fa50ee07573bf82d09026939546b398415e0add51	docs/governance/helix-agent-harness-topic-all-ref-content-chunk-0015-2026-07-07.tsv
WanLanglin/-awesome-cc-harness	main	1	0	0	ok	chunk-0009	1	80	43	2a7c211599cc067215ac80d2f45266ca7d099c5df300a775a9730538305065c7	docs/governance/helix-agent-harness-topic-all-ref-content-chunk-0009-2026-07-07.tsv
7-e1even/learn-agent	main	1	0	0	ok	chunk-0003	1	84	77	f64b7e28a6729cf3402558d9639c8b4e506192372c9ae201c4de5df83b307503	docs/governance/helix-agent-harness-topic-all-ref-content-chunk-0003-2026-07-07.tsv
smartcomputer-ai/lightspeed	main	4	0	24	ok	chunk-0009	28	11069	2197	05011f43651bc2a77a073a254388cb42555788685dc6ba28cac193aa4a0c3d55	docs/governance/helix-agent-harness-topic-all-ref-content-chunk-0009-2026-07-07.tsv
genai-io/san	main	2	112	257	ok	chunk-0016	371	199029	6375	32a09786b4a55883bbff6ae75e67e6e5ff860b2c51d25ea70253ed064edb15ee	docs/governance/helix-agent-harness-topic-all-ref-content-chunk-0016-2026-07-07.tsv
appsoftwareltd/vscode-agent-kanban	main	1	15	2	ok	chunk-0004	18	989	233	786a9910c5dbbb73fb25bd67b4e04d2ac7286191aa2dc51422f0435596cd5b9c	docs/governance/helix-agent-harness-topic-all-ref-content-chunk-0004-2026-07-07.tsv
vitaliikapliuk/modelharness	main	1	1	0	ok	chunk-0002	2	386	174	4249bf5be8d994a2e34547c81b975fdad028b0263a467a773c10615bddef49e6	docs/governance/helix-agent-harness-topic-all-ref-content-chunk-0002-2026-07-07.tsv
mvschwarz/openrig	main	5	14	7	ok	chunk-0011	26	30011	3200	847a1d4e4522cc327597804678b8918ae53bf3105a286bd91483f0ee89e7a19b	docs/governance/helix-agent-harness-topic-all-ref-content-chunk-0011-2026-07-07.tsv
holny/Agent-Harness-Develop-Book	main	1	0	0	ok	chunk-0004	1	2	2	4abf8e8037ca19aeba272053fce29929036796a3a76cf6003822ea302385d530	docs/governance/helix-agent-harness-topic-all-ref-content-chunk-0004-2026-07-07.tsv
Coral-Bricks-AI/reef	main	1	3	14	ok	chunk-0005	18	1604	474	d63f3c51d5a6aab05a8975c0e083c117f6372fa9755d37d37f60523a45525225	docs/governance/helix-agent-harness-topic-all-ref-content-chunk-0005-2026-07-07.tsv
SihyeonJeon/why-was-fable-banned	main	1	1	0	ok	chunk-0010	2	99	93	7a493181c743725c89830e96a6276006811701072879386076d89fc8eca8351b	docs/governance/helix-agent-harness-topic-all-ref-content-chunk-0010-2026-07-07.tsv
TRocket-Labs/vectorlint	main	61	9	99	ok	chunk-0005	169	25183	1153	b96141802eb1033dfadf8f6bd3e27c3c7c63eefc5d57c25b17cc153fd653fd07	docs/governance/helix-agent-harness-topic-all-ref-content-chunk-0005-2026-07-07.tsv
strangeadvancedmarketing/Adam	master	1	4	1	ok	chunk-0004	6	293	154	bbdd1421b4ec45b164a6cd477befb45fbde82ce75be87e268330591ed8f857d6	docs/governance/helix-agent-harness-topic-all-ref-content-chunk-0004-2026-07-07.tsv
Mintplex-Labs/anythingllm-mobile	main	1	0	24	ok	chunk-0016	25	13645	1065	dbaea3723f73d94479b20d658e0978251769977b177cc469980c20c600219cb8	docs/governance/helix-agent-harness-topic-all-ref-content-chunk-0016-2026-07-07.tsv
xiaonancs/claude-code-source-analysis	main	1	0	0	ok	chunk-0013	1	38	38	da89d6b7f39ed37713c59eb2afa7d69f7f44dcbcd30923eae593ee98775f5122	docs/governance/helix-agent-harness-topic-all-ref-content-chunk-0013-2026-07-07.tsv
InternScience/ResearchHarness	main	1	17	1	ok	chunk-0004	19	1741	272	b017cfdf09270d1e01fb44a05011c72f713618274b58b61def8875e87ddd86fa	docs/governance/helix-agent-harness-topic-all-ref-content-chunk-0004-2026-07-07.tsv
whut09/paper_agent	main	7	0	16	ok	chunk-0010	23	2100	202	2221a24dc8863b2f0cce543a5c5b2ec9816d8159b59c3c1b266f508987d5db23	docs/governance/helix-agent-harness-topic-all-ref-content-chunk-0010-2026-07-07.tsv
agenticenv/agent-sdk-go	main	1	19	21	ok	chunk-0014	41	9277	1285	b6860ed9ea9a46a03ec0a4f35f834aeafec49dad59e6781c63ef9e5a603cff23	docs/governance/helix-agent-harness-topic-all-ref-content-chunk-0014-2026-07-07.tsv
clawboo/clawboo	main	1	31	46	ok	chunk-0012	78	33690	2196	492b609f12c9a6ee892c5b8f5f354a4a76d5cc64fc79e9e396b7d5ceb7f31686	docs/governance/helix-agent-harness-topic-all-ref-content-chunk-0012-2026-07-07.tsv
ganimjeong/Harness-for-claude	main	1	1	0	ok	chunk-0001	2	55	29	7bd42607da18c9d7f7e35ed887d566e1a78c63196d05a21b524ad2f09b3456ac	docs/governance/helix-agent-harness-topic-all-ref-content-chunk-0001-2026-07-07.tsv
MatthewZMD/agent-digivolve-harness-loop	main	1	0	0	ok	chunk-0003	1	43	43	62cb1568e751c5d1baa50dd942100795de5f39142df9c92c87ead78f82754a80	docs/governance/helix-agent-harness-topic-all-ref-content-chunk-0003-2026-07-07.tsv
majiayu000/vibeguard	main	93	9	344	ok	chunk-0009	446	252332	4615	4f54e0e5c1632a76256b7bc66b1849f1189fbcbb2693ed98c2e797eb1b8b355c	docs/governance/helix-agent-harness-topic-all-ref-content-chunk-0009-2026-07-07.tsv
410979729/proofrail-hermes	main	1	11	0	ok	chunk-0003	12	495	178	552416d7d2c911e6ab1f3d21e8f06f9b26940c421ea7f413c98fb0242c541be2	docs/governance/helix-agent-harness-topic-all-ref-content-chunk-0003-2026-07-07.tsv
michael-chow-arch/goldfxgraph	main	1	0	10	ok	chunk-0009	11	2026	408	6fb775f37fcfd24881497c0499fe358a1d2ca9c63c57e94df46e9a1fca067066	docs/governance/helix-agent-harness-topic-all-ref-content-chunk-0009-2026-07-07.tsv
xiaonancs/hermes-agent-study	main	3	0	2	ok	chunk-0005	5	208	70	61ba98172868bb82144db8acf76f6b1211bf4e1912d1816d2088c597b22aee50	docs/governance/helix-agent-harness-topic-all-ref-content-chunk-0005-2026-07-07.tsv
sehoon787/my-codex	main	17	14	49	ok	chunk-0006	80	16273	1120	819ef40ac3aab26a88a688a4b2306e7e57bf7023ef86c4bcd98d72b03feadbf6	docs/governance/helix-agent-harness-topic-all-ref-content-chunk-0006-2026-07-07.tsv
Rockielab/rockie-claude	main	5	0	20	ok	chunk-0004	25	10783	595	bd0e68b7db5c860b7ea1e7aad38bb65470e156501eb0b228c6d46838fb54b60d	docs/governance/helix-agent-harness-topic-all-ref-content-chunk-0004-2026-07-07.tsv
joyehuang/Learn-Open-Harness	main	2	0	6	ok	chunk-0017	8	541	157	51bc37f5e7215137ccf6609182039f445d79c4355bf30fc566b29fbdf6808551	docs/governance/helix-agent-harness-topic-all-ref-content-chunk-0017-2026-07-07.tsv
move-hoon/sober	main	1	18	0	ok	chunk-0003	19	1837	297	402d635d2470227f83559e887875b5cf080f36d57a5321545de61354449685d7	docs/governance/helix-agent-harness-topic-all-ref-content-chunk-0003-2026-07-07.tsv
cosmtrek/jeju	master	3	16	1	ok	chunk-0005	20	5337	588	676b751823314356e0b882a61f951d0e20774cf71ed681aba631879783bfec8e	docs/governance/helix-agent-harness-topic-all-ref-content-chunk-0005-2026-07-07.tsv
HaseebKhalid1507/SynapsCLI	main	35	24	57	ok	chunk-0011	116	36993	1681	3a34ddd3173b78d28509cd35f2f33cc82e1b6bcb3356da153318b7b2158e1350	docs/governance/helix-agent-harness-topic-all-ref-content-chunk-0011-2026-07-07.tsv
core0-io/nio	main	4	25	8	ok	chunk-0006	37	8849	1351	41bb2e84fced049f2b76fcc1fdc03dc6ce8c16c2ba6526b32bfca21a53b2803b	docs/governance/helix-agent-harness-topic-all-ref-content-chunk-0006-2026-07-07.tsv
edvinhallvaxhiu/langchain-task-steering	main	5	5	8	ok	chunk-0003	18	737	111	6f79da9cd86c2418f878c7874aeadebbb77d4033f91e104c7adad3b3f243ad33	docs/governance/helix-agent-harness-topic-all-ref-content-chunk-0003-2026-07-07.tsv
MeherBhaskar/agent-rigor	main	1	0	0	ok	chunk-0005	1	48	48	db190717823e39e09f1a8eca3ce22b2070c4eddbf8ab2727332c2548e309e19a	docs/governance/helix-agent-harness-topic-all-ref-content-chunk-0005-2026-07-07.tsv
zxpmail/ReqForge	main	3	4	3	ok	chunk-0005	10	18557	974	247d91bac94c4454e675a7baee4402afc4861af721e57ee473d8b70a08be7670	docs/governance/helix-agent-harness-topic-all-ref-content-chunk-0005-2026-07-07.tsv
leodido/structcli	main	79	14	172	ok	chunk-0010	265	30092	987	5937c9dd1ba366a2764d9ccae7bab80995421d29de4c9a9bb9a30b4b10c5e20b	docs/governance/helix-agent-harness-topic-all-ref-content-chunk-0010-2026-07-07.tsv
lukas-grigis/ralphctl	main	1	51	198	ok	chunk-0011	250	197148	7883	ad7658d1840602954b20c05d0bbc0dc661f447884a9fda9252d36af21a7fb1e0	docs/governance/helix-agent-harness-topic-all-ref-content-chunk-0011-2026-07-07.tsv
WhitzardAgent/qitos	main	3	2	10	ok	chunk-0013	15	14407	2048	239ff5a699b8ede10a21e79a18fb5e7b35e1cbd96074e96b6a8fc715608a6f48	docs/governance/helix-agent-harness-topic-all-ref-content-chunk-0013-2026-07-07.tsv
BicaMindLabs/FuguNano	main	1	1	12	ok	chunk-0005	14	5881	759	97600e37db494cdfa5edcd74a1a50d88f1b5f09fbc964a4c4e648f9f31c7b82c	docs/governance/helix-agent-harness-topic-all-ref-content-chunk-0005-2026-07-07.tsv
kiaquila/unicorn-hub	main	6	0	13	ok	chunk-0003	19	2031	241	d7a9e6bb23fdd40306e82631f3d53973ed9b261183382d6d47ad61b144d5a09c	docs/governance/helix-agent-harness-topic-all-ref-content-chunk-0003-2026-07-07.tsv
tomcounsell/ai	main	327	0	829	ok	chunk-0020	1156	1417418	13740	6be7bb86e2ff78f1d893b22793fad31f7f73f967ec558fc39e9ff4f0314067f2	docs/governance/helix-agent-harness-topic-all-ref-content-chunk-0020-2026-07-07.tsv
knewstimek/gorchera	master	1	11	0	ok	chunk-0016	12	876	198	461b23a618442ac320dddc8cebdf6d706e1eae2e167197a2f79cbdddc10d68c5	docs/governance/helix-agent-harness-topic-all-ref-content-chunk-0016-2026-07-07.tsv
HexamindOrganisation/hexgate	main	69	9	74	ok	chunk-0007	152	52610	1772	f2062aa5bb9b15562913b4e8088368a5c9b1fb98d7d4652a5c397530aa6cec04	docs/governance/helix-agent-harness-topic-all-ref-content-chunk-0007-2026-07-07.tsv
Open-Harness/open-harness	master	7	2	88	ok	chunk-0010	97	54359	3974	3fd7ede592385c4a6c0f436b69ff53fbe8e5b3ce5b70c3760e843d133200e208	docs/governance/helix-agent-harness-topic-all-ref-content-chunk-0010-2026-07-07.tsv
zosmaai/dhara	main	6	40	139	ok	chunk-0016	185	41110	917	a0a96fd9e2393fc2de3f894d713b0a3f19c052d717e21cbf89661c31fb026302	docs/governance/helix-agent-harness-topic-all-ref-content-chunk-0016-2026-07-07.tsv
asa-degroff/Porrima	main	2	7	4	ok	chunk-0007	13	5063	529	941e50c3be0ddc966f0cee44909043c4ed4bfafa972b8d3355cddf6bbf19f526	docs/governance/helix-agent-harness-topic-all-ref-content-chunk-0007-2026-07-07.tsv
jity16/MiNerva	main	1	0	0	ok	chunk-0014	1	336	320	cc5d5b3b63a9129968699eefa7a626695a6bd26585affc0ac427329088bb29a4	docs/governance/helix-agent-harness-topic-all-ref-content-chunk-0014-2026-07-07.tsv
listener-He/java-harness-agent	claude-code	4	5	0	ok	chunk-0005	9	1215	620	3946398cfa77674f206bee794b1dee1d847ebcdffd4933758ebea09335c84515	docs/governance/helix-agent-harness-topic-all-ref-content-chunk-0005-2026-07-07.tsv
microsoft/Build26-BRK243-claw-and-agent-harness-in-microsoft-foundry	main	1	0	0	ok	chunk-0005	1	175	174	3dac710d9efb9162a69ae55defa97ea6d29cf66cf4a9cf6ca1ba2ca904a2b883	docs/governance/helix-agent-harness-topic-all-ref-content-chunk-0005-2026-07-07.tsv
BA-CalderonMorales/agent-harness	main	2	84	3	ok	chunk-0017	89	12904	898	29b6cad03e574cff697abecfb2265f1b9e59e618e89d05212752d0400258e64e	docs/governance/helix-agent-harness-topic-all-ref-content-chunk-0017-2026-07-07.tsv
Ranvier-Technologies/pixir	main	2	0	1	ok	chunk-0004	6	2244	383	59bbbf89766601fd9c0096a64e3d114761fef24a2d5a05a79a6a8ce78fe3ef99	docs/governance/helix-agent-harness-topic-all-ref-content-chunk-0004-2026-07-07.tsv
sehoon787/my-claude	main	1	10	151	ok	chunk-0005	162	34596	1481	b2d9d69372218c3159f0ec35e2d6f1e3507cefb385ced26166313561d78ded26	docs/governance/helix-agent-harness-topic-all-ref-content-chunk-0005-2026-07-07.tsv
Dominien/hubspot-sales-agent	main	1	0	1	ok	chunk-0003	2	180	85	110912c8f8b75ae6f24ba74efdd029cea735969261c08b4a6da5b1a155ab50d9	docs/governance/helix-agent-harness-topic-all-ref-content-chunk-0003-2026-07-07.tsv
joctaTorres/ratchet	main	12	0	47	ok	chunk-0009	57	44403	1695	85025a94121fb9fcc311ce2aa8a6aef75421e5e8da4538225a34f742e9f16b3b	docs/governance/helix-agent-harness-topic-all-ref-content-chunk-0009-2026-07-07.tsv
prakashkagitha/evolving-agent-harnesses	main	2	0	1	ok	chunk-0010	3	686	239	ebe4563e4cea79c09726d122ce1ba5866d6a4ec70eb84ed92fd06982d8f6113f	docs/governance/helix-agent-harness-topic-all-ref-content-chunk-0010-2026-07-07.tsv
ianphil/chamber	master	33	98	234	ok	chunk-0008	365	170381	3957	c664712376f718011a9e07c228fa31b0513a9a2edd2bd181a5a21fc714364b9d	docs/governance/helix-agent-harness-topic-all-ref-content-chunk-0008-2026-07-07.tsv
schalkneethling/skills-autoresearch-flue	main	6	0	63	ok	chunk-0004	69	6852	295	735c26b5c4229e7fad4e1615788103b57af0d755ee7b94b74ad14afd1e271d94	docs/governance/helix-agent-harness-topic-all-ref-content-chunk-0004-2026-07-07.tsv
chensheng/opc-harness	main	1	0	0	ok	chunk-0011	1	688	646	22612f8142a64d9d474d1c0c1d8fb5fdc38f2b436e46e32b974c41ec7f9e3b6c	docs/governance/helix-agent-harness-topic-all-ref-content-chunk-0011-2026-07-07.tsv
memtomem/memtomem	main	30	76	1200	ok	chunk-0013	1306	761461	6459	9b508f9b87436ba199859cdab551ec217b017dadc4e3db4ed3a7c94070354d67	docs/governance/helix-agent-harness-topic-all-ref-content-chunk-0013-2026-07-07.tsv
clark-labs-inc/clark-agent	main	1	1	0	ok	chunk-0003	2	70	35	62b73568e3fcaab7541aeb5a0863ebcc4249f880698b448fa5958d76cc33a19e	docs/governance/helix-agent-harness-topic-all-ref-content-chunk-0003-2026-07-07.tsv
ahwurm/localharness	main	2	6	0	ok	chunk-0006	8	2342	409	a468abc6e6d05557a15f8dd53e29780121c90f9679f4a789bd118d660217019e	docs/governance/helix-agent-harness-topic-all-ref-content-chunk-0006-2026-07-07.tsv
tenurehq/GroundEval	main	3	1	9	ok	chunk-0009	13	1222	276	3e70961441767501fca595ba43f6a8724b2a1523a7c5f7b8c67507e5cfe635da	docs/governance/helix-agent-harness-topic-all-ref-content-chunk-0009-2026-07-07.tsv
